"year","month","day","latitude","longitude","scientific_name","common_name","iconic_taxon_name","taxon_class_name","taxon_order_name","Invasive"
2009,6,25,44.90028345,-64.51700371,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2009,6,27,44.773212,-63.606901,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2010,6,21,44.90357989,-64.52312049,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2012,8,12,44.27666995,-64.57592205,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2012,8,12,44.27746207,-64.57670525,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2013,7,17,44.90290689,-64.52783522,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2013,9,10,44.4107933,-64.32186127,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2013,9,13,46.25099537,-60.29771926,"Molgula","","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2013,9,19,44.375,-64.3083,"Ascidiella aspersa","European ascidian","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2013,9,19,44.4108,-64.3217,"Ascidiella aspersa","European ascidian","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2014,5,20,46.336123,-61.092597,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2014,6,19,46.66968733,-60.96286451,"Salpida","Salps","Animalia","Thaliacea","Salpida","Tunicate"
2014,8,2,45.98179745,-60.4310596,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,8,2,44.35059962,-64.32114183,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,8,2,44.3504578,-64.32125216,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,8,8,45.9818,-60.4314,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,8,9,46.1908,-60.2686,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2014,8,9,45.6137,-61.3654,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,9,26,46.25177983,-60.30221126,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,9,26,46.25186025,-60.30233942,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2014,9,27,45.66096223,-60.8763853,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,9,30,45.98171661,-60.43101525,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,9,30,45.981796,-60.431061,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,7,31,44.71050944,-64.71745556,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2015,10,4,46.099294,-60.748206,"Molgula manhattensis","Northern Sea Squirt","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,4,46.28112601,-60.42449244,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,4,46.25180938,-60.30216504,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,5,45.70018,-61.09173,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,6,46.68935,-60.35959,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,7,45.91783,-59.97138,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2015,10,7,45.91783,-59.97138,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2015,10,8,46.0273,-61.54474,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,8,46.0273,-61.54474,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,9,45.61432,-61.36533,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2015,10,9,45.61432,-61.36533,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,9,45.61432,-61.36533,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2016,8,10,46.07500104,-60.29159546,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2016,9,17,44.40110194,-64.54708095,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2016,10,13,43.52981111,-65.43878889,"Tunicata","Tunicates","Animalia","","","Tunicate"
2016,10,13,43.52979722,-65.43886667,"Tunicata","Tunicates","Animalia","","","Tunicate"
2016,10,19,44.71244876,-63.67113523,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
